n,p,d,loss_trend,CV_probability
50,30,50,0.0,1.0000000000000002
100,30,50,"tensor(0.0008, dtype=torch.float64)",0.9000000000000002
150,30,50,0.0,1.0000000000000002
200,30,50,0.0,1.0000000000000002
250,30,50,0.0,1.0000000000000002
300,30,50,"tensor(0.0002, dtype=torch.float64)",0.9500000000000003
350,30,50,"tensor(0.0004, dtype=torch.float64)",0.8000000000000002
400,30,50,"tensor(0.0015, dtype=torch.float64)",0.49999999999999994
450,30,50,"tensor(0.0032, dtype=torch.float64)",0.2
500,30,50,"tensor(0.0060, dtype=torch.float64)",0.0
550,30,50,"tensor(0.0119, dtype=torch.float64)",0.0
600,30,50,"tensor(0.0192, dtype=torch.float64)",0.0
650,30,50,"tensor(0.0265, dtype=torch.float64)",0.0
700,30,50,"tensor(0.0425, dtype=torch.float64)",0.0
750,30,50,"tensor(0.0527, dtype=torch.float64)",0.0
800,30,50,"tensor(0.0673, dtype=torch.float64)",0.0
850,30,50,"tensor(0.0900, dtype=torch.float64)",0.0
900,30,50,"tensor(0.1128, dtype=torch.float64)",0.0
950,30,50,"tensor(0.1197, dtype=torch.float64)",0.0
1000,30,50,"tensor(0.1413, dtype=torch.float64)",0.0
1050,30,50,"tensor(0.1571, dtype=torch.float64)",0.0
1100,30,50,"tensor(0.1822, dtype=torch.float64)",0.0
1150,30,50,"tensor(0.1923, dtype=torch.float64)",0.0
1200,30,50,"tensor(0.2190, dtype=torch.float64)",0.0
1250,30,50,"tensor(0.2309, dtype=torch.float64)",0.0
