n,p,d,loss_trend,CV_probability
20,30,20,0.0,1.0000000000000002
40,30,20,0.0,1.0000000000000002
60,30,20,"tensor(0.0017, dtype=torch.float64)",0.9000000000000002
80,30,20,"tensor(0.0026, dtype=torch.float64)",0.7500000000000001
100,30,20,"tensor(0.0147, dtype=torch.float64)",0.1
120,30,20,"tensor(0.0263, dtype=torch.float64)",0.0
140,30,20,"tensor(0.0501, dtype=torch.float64)",0.0
160,30,20,"tensor(0.0803, dtype=torch.float64)",0.0
180,30,20,"tensor(0.1385, dtype=torch.float64)",0.0
200,30,20,"tensor(0.1571, dtype=torch.float64)",0.0
220,30,20,"tensor(0.1714, dtype=torch.float64)",0.0
240,30,20,"tensor(0.2727, dtype=torch.float64)",0.0
260,30,20,"tensor(0.2645, dtype=torch.float64)",0.0
280,30,20,"tensor(0.3413, dtype=torch.float64)",0.0
300,30,20,"tensor(0.3866, dtype=torch.float64)",0.0
320,30,20,"tensor(0.3936, dtype=torch.float64)",0.0
340,30,20,"tensor(0.4083, dtype=torch.float64)",0.0
360,30,20,"tensor(0.4376, dtype=torch.float64)",0.0
380,30,20,"tensor(0.4060, dtype=torch.float64)",0.0
